timestamp,idx,gpu_util_pct,mem_used_pct
1772908214.190690575,0,0,0.00
1772908214.190690575,1,0,0.00
1772908215.216179142,0,0,0.00
1772908215.216179142,1,0,0.00
1772908216.241873407,0,0,0.00
1772908216.241873407,1,0,0.00
1772908217.265866921,0,0,0.00
1772908217.265866921,1,0,0.00
1772908218.290190710,0,0,0.00
1772908218.290190710,1,0,0.00
1772908219.317197928,0,0,0.00
1772908219.317197928,1,0,0.00
1772908220.341079189,0,0,0.00
1772908220.341079189,1,0,0.00
1772908221.364511463,0,0,0.00
1772908221.364511463,1,0,0.00
1772908222.389025474,0,0,0.01
1772908222.389025474,1,0,0.01
1772908223.414170419,0,0,8.53
1772908223.414170419,1,0,0.01
1772908224.439164196,0,0,8.53
1772908224.439164196,1,0,0.01
1772908225.462396403,0,0,8.53
1772908225.462396403,1,0,0.01
1772908226.486967721,0,0,8.53
1772908226.486967721,1,0,0.01
1772908227.512703307,0,0,8.59
1772908227.512703307,1,0,0.01
1772908228.537818556,0,0,8.59
1772908228.537818556,1,0,0.01
1772908229.561247079,0,0,8.59
1772908229.561247079,1,0,0.01
1772908230.585203966,0,0,8.59
1772908230.585203966,1,0,0.01
1772908231.610207594,0,0,8.59
1772908231.610207594,1,0,0.01
1772908232.633877465,0,0,8.59
1772908232.633877465,1,0,0.01
1772908233.657697825,0,0,8.59
1772908233.657697825,1,0,0.01
1772908234.683005461,0,0,8.59
1772908234.683005461,1,0,0.01
1772908235.708415174,0,0,8.59
1772908235.708415174,1,0,0.01
1772908236.733888368,0,0,8.59
1772908236.733888368,1,0,0.01
1772908237.757749979,0,0,8.59
1772908237.757749979,1,0,0.01
1772908238.781954815,0,0,8.59
1772908238.781954815,1,0,0.01
1772908239.805084593,0,0,8.59
1772908239.805084593,1,0,0.01
1772908240.830247429,0,0,8.59
1772908240.830247429,1,0,0.01
1772908241.854373660,0,0,8.59
1772908241.854373660,1,0,0.01
1772908242.878561863,0,0,8.59
1772908242.878561863,1,0,0.01
1772908243.901840315,0,0,8.59
1772908243.901840315,1,0,0.01
1772908244.924778934,0,0,8.59
1772908244.924778934,1,0,0.01
1772908245.948955000,0,0,8.59
1772908245.948955000,1,0,0.01
1772908246.972088711,0,0,8.59
1772908246.972088711,1,0,0.01
1772908247.995934803,0,0,8.59
1772908247.995934803,1,0,0.01
1772908249.018618303,0,0,8.59
1772908249.018618303,1,0,0.01
1772908250.041712169,0,0,8.59
1772908250.041712169,1,0,0.01
1772908251.065411323,0,0,8.59
1772908251.065411323,1,0,0.01
1772908252.090059254,0,0,8.59
1772908252.090059254,1,0,0.01
1772908253.114035490,0,0,8.59
1772908253.114035490,1,0,0.01
1772908254.138177777,0,0,8.59
1772908254.138177777,1,0,0.01
1772908255.161087107,0,0,8.59
1772908255.161087107,1,0,0.01
1772908256.184298846,0,0,8.59
1772908256.184298846,1,0,0.01
1772908257.207627811,0,0,8.59
1772908257.207627811,1,0,0.01
1772908258.230530937,0,0,8.59
1772908258.230530937,1,0,0.01
1772908259.253616304,0,0,8.59
1772908259.253616304,1,0,0.01
1772908260.276861791,0,0,8.59
1772908260.276861791,1,0,0.01
1772908261.300149145,0,0,8.59
1772908261.300149145,1,0,0.01
1772908262.322533776,0,0,8.59
1772908262.322533776,1,0,0.01
1772908263.345170283,0,0,8.59
1772908263.345170283,1,0,0.01
1772908264.368261570,0,0,8.59
1772908264.368261570,1,0,0.01
1772908265.391401897,0,0,8.59
1772908265.391401897,1,0,0.01
1772908266.414139750,0,0,8.59
1772908266.414139750,1,0,0.01
1772908267.438733841,0,0,8.59
1772908267.438733841,1,0,0.01
1772908268.462794832,0,0,8.59
1772908268.462794832,1,0,0.01
1772908269.486961603,0,0,8.59
1772908269.486961603,1,0,0.01
1772908270.510688788,0,0,8.59
1772908270.510688788,1,0,0.01
1772908271.533848739,0,0,8.59
1772908271.533848739,1,0,0.01
1772908272.558210234,0,5,8.95
1772908272.558210234,1,0,0.01
1772908273.582020086,0,0,9.14
1772908273.582020086,1,0,0.01
1772908274.606737206,0,100,9.69
1772908274.606737206,1,0,0.01
1772908275.631972966,0,100,10.42
1772908275.631972966,1,0,0.01
1772908276.656567471,0,100,10.51
1772908276.656567471,1,0,0.01
1772908277.679860107,0,100,10.78
1772908277.679860107,1,0,0.01
1772908278.703478796,0,99,11.06
1772908278.703478796,1,0,0.01
1772908279.726740142,0,99,11.06
1772908279.726740142,1,0,0.01
1772908280.750176900,0,99,11.06
1772908280.750176900,1,0,0.01
1772908281.774522089,0,99,11.06
1772908281.774522089,1,0,0.01
1772908282.798451747,0,99,11.06
1772908282.798451747,1,0,0.01
1772908283.822912305,0,100,11.06
1772908283.822912305,1,0,0.01
1772908284.848579941,0,100,11.06
1772908284.848579941,1,0,0.01
1772908285.872953369,0,100,11.06
1772908285.872953369,1,0,0.01
1772908286.896942258,0,28,11.06
1772908286.896942258,1,0,0.01
1772908287.920861027,0,0,11.06
1772908287.920861027,1,0,0.01
1772908288.944480862,0,0,11.06
1772908288.944480862,1,0,0.01
1772908289.967868208,0,0,11.06
1772908289.967868208,1,0,0.01
1772908290.990175058,0,0,11.06
1772908290.990175058,1,0,0.01
1772908292.012926814,0,0,11.06
1772908292.012926814,1,0,0.01
1772908293.036075708,0,0,11.06
1772908293.036075708,1,0,0.01
1772908294.060314949,0,0,11.06
1772908294.060314949,1,0,0.01
1772908295.083186345,0,0,11.06
1772908295.083186345,1,0,0.01
1772908296.106611425,0,0,11.06
1772908296.106611425,1,0,0.01
1772908297.130155299,0,0,11.06
1772908297.130155299,1,0,0.01
1772908298.153679380,0,0,11.06
1772908298.153679380,1,0,0.01
1772908299.176336578,0,0,11.06
1772908299.176336578,1,0,0.01
1772908300.200293994,0,0,11.06
1772908300.200293994,1,0,0.01
1772908301.224240677,0,0,11.06
1772908301.224240677,1,0,0.01
1772908302.248959343,0,0,11.06
1772908302.248959343,1,0,0.01
1772908303.272705384,0,0,11.06
1772908303.272705384,1,0,0.01
1772908304.295717761,0,0,11.06
1772908304.295717761,1,0,0.01
1772908305.318233316,0,0,11.06
1772908305.318233316,1,0,0.01
1772908306.340919389,0,0,11.06
1772908306.340919389,1,0,0.01
1772908307.364887976,0,0,11.06
1772908307.364887976,1,0,0.01
1772908308.390086011,0,1,11.06
