timestamp,idx,gpu_util_pct,mem_used_pct
1772934625.900522444,0,0,3.42
1772934625.900522444,1,0,0.01
1772934626.923411175,0,0,3.42
1772934626.923411175,1,0,0.01
1772934627.945313272,0,0,3.42
1772934627.945313272,1,0,0.01
1772934628.966576275,0,0,3.42
1772934628.966576275,1,0,0.01
1772934629.988773382,0,0,4.36
1772934629.988773382,1,0,0.01
1772934631.011513414,0,0,4.36
1772934631.011513414,1,0,0.01
1772934632.033849043,0,0,4.37
1772934632.033849043,1,0,0.01
1772934633.056730680,0,0,4.37
1772934633.056730680,1,0,0.01
1772934634.079644274,0,0,4.37
1772934634.079644274,1,0,0.01
1772934635.102587176,0,0,4.37
1772934635.102587176,1,0,0.01
1772934636.124817319,0,0,4.37
1772934636.124817319,1,0,0.01
1772934637.146913170,0,0,4.37
1772934637.146913170,1,0,0.01
1772934638.168260048,0,0,4.37
1772934638.168260048,1,0,0.01
1772934639.190894403,0,0,4.37
1772934639.190894403,1,0,0.01
1772934640.212180976,0,0,4.37
1772934640.212180976,1,0,0.01
1772934641.234429674,0,0,4.37
1772934641.234429674,1,0,0.01
1772934642.256426122,0,0,4.37
1772934642.256426122,1,0,0.01
1772934643.279003839,0,0,4.37
1772934643.279003839,1,0,0.01
1772934644.301154586,0,0,4.37
1772934644.301154586,1,0,0.01
1772934645.323781779,0,0,4.37
1772934645.323781779,1,0,0.01
1772934646.345860403,0,0,4.37
1772934646.345860403,1,0,0.01
1772934647.368162036,0,0,4.37
1772934647.368162036,1,0,0.01
1772934648.390362656,0,67,4.64
1772934648.390362656,1,0,0.01
1772934649.412857281,0,99,4.64
1772934649.412857281,1,0,0.01
1772934650.435305294,0,99,4.64
1772934650.435305294,1,0,0.01
1772934651.457631094,0,1,4.64
1772934651.457631094,1,0,0.01
1772934652.480593133,0,0,4.64
1772934652.480593133,1,0,0.01
1772934653.503399761,0,0,4.64
1772934653.503399761,1,0,0.01
1772934654.526292142,0,0,4.64
1772934654.526292142,1,0,0.01
1772934655.549400679,0,0,4.64
1772934655.549400679,1,0,0.01
1772934656.571692459,0,0,4.64
1772934656.571692459,1,0,0.01
1772934657.593835442,0,0,4.64
1772934657.593835442,1,0,0.01
1772934658.615885211,0,0,4.64
1772934658.615885211,1,0,0.01
1772934659.638095099,0,0,4.64
1772934659.638095099,1,0,0.01
1772934660.660875117,0,0,4.64
1772934660.660875117,1,0,0.01
1772934661.683051703,0,0,4.64
1772934661.683051703,1,0,0.01
1772934662.705223853,0,0,4.64
1772934662.705223853,1,0,0.01
1772934663.728162407,0,0,4.64
1772934663.728162407,1,0,0.01
1772934664.750618900,0,0,4.64
1772934664.750618900,1,0,0.01
1772934665.772911892,0,0,4.64
1772934665.772911892,1,0,0.01
1772934666.794987971,0,0,4.64
1772934666.794987971,1,0,0.01
1772934667.817268312,0,0,4.64
1772934667.817268312,1,0,0.01
1772934668.840135195,0,0,4.64
1772934668.840135195,1,0,0.01
1772934669.862620293,0,0,4.64
1772934669.862620293,1,0,0.01
1772934670.883939209,0,0,4.64
1772934670.883939209,1,0,0.01
1772934671.905427341,0,0,4.64
1772934671.905427341,1,0,0.01
1772934672.927582508,0,0,4.64
1772934672.927582508,1,0,0.01
1772934673.948715411,0,0,4.64
1772934673.948715411,1,0,0.01
1772934674.971667188,0,0,4.64
1772934674.971667188,1,0,0.01
1772934675.993756401,0,0,4.64
1772934675.993756401,1,0,0.01
1772934677.015904645,0,0,4.64
1772934677.015904645,1,0,0.01
1772934678.037965369,0,0,4.64
1772934678.037965369,1,0,0.01
1772934679.060031288,0,0,4.64
1772934679.060031288,1,0,0.01
1772934680.083008021,0,0,4.64
1772934680.083008021,1,0,0.01
1772934681.104854457,0,0,4.64
1772934681.104854457,1,0,0.01
1772934682.127775942,0,0,4.64
1772934682.127775942,1,0,0.01
1772934683.150052961,0,0,4.64
1772934683.150052961,1,0,0.01
1772934684.172193938,0,0,4.83
1772934684.172193938,1,0,0.01
1772934685.193660654,0,57,4.92
1772934685.193660654,1,0,0.01
1772934686.216511725,0,57,4.92
1772934686.216511725,1,0,0.01
1772934687.238703907,0,0,4.92
1772934687.238703907,1,0,0.01
1772934688.261587759,0,0,4.92
1772934688.261587759,1,0,0.01
1772934689.282970232,0,0,4.92
1772934689.282970232,1,0,0.01
1772934690.304255905,0,0,4.92
1772934690.304255905,1,0,0.01
1772934691.325624082,0,0,4.92
1772934691.325624082,1,0,0.01
1772934692.347487169,0,0,4.92
1772934692.347487169,1,0,0.01
1772934693.370333502,0,0,4.92
1772934693.370333502,1,0,0.01
