timestamp,idx,gpu_util_pct,mem_used_pct
1772908214.190403632,0,0,0.00
1772908214.190403632,1,0,0.00
1772908215.216065855,0,0,0.00
1772908215.216065855,1,0,0.00
1772908216.242465680,0,0,0.00
1772908216.242465680,1,0,0.00
1772908217.265704052,0,0,0.00
1772908217.265704052,1,0,0.00
1772908218.290246786,0,0,0.00
1772908218.290246786,1,0,0.00
1772908219.317197865,0,0,0.00
1772908219.317197865,1,0,0.00
1772908220.341015884,0,0,0.00
1772908220.341015884,1,0,0.00
1772908221.364923972,0,0,0.00
1772908221.364923972,1,0,0.00
1772908222.388830495,0,0,0.01
1772908222.388830495,1,0,0.01
1772908223.414065439,0,0,8.53
1772908223.414065439,1,0,0.01
1772908224.439594486,0,0,8.53
1772908224.439594486,1,0,0.01
1772908225.463128662,0,0,8.53
1772908225.463128662,1,0,0.01
1772908226.487394971,0,0,8.53
1772908226.487394971,1,0,0.01
1772908227.512606405,0,0,8.59
1772908227.512606405,1,0,0.01
1772908228.536770595,0,0,8.59
1772908228.536770595,1,0,0.01
1772908229.561753229,0,0,8.59
1772908229.561753229,1,0,0.01
1772908230.586388304,0,0,8.59
1772908230.586388304,1,0,0.01
1772908231.610296119,0,0,8.59
1772908231.610296119,1,0,0.01
1772908232.633873613,0,0,8.59
1772908232.633873613,1,0,0.01
1772908233.657439947,0,0,8.59
1772908233.657439947,1,0,0.01
1772908234.683024454,0,0,8.59
1772908234.683024454,1,0,0.01
1772908235.708574937,0,0,8.59
1772908235.708574937,1,0,0.01
1772908236.733931714,0,0,8.59
1772908236.733931714,1,0,0.01
1772908237.757942839,0,0,8.59
1772908237.757942839,1,0,0.01
1772908238.781673600,0,0,8.59
1772908238.781673600,1,0,0.01
1772908239.805070318,0,0,8.59
1772908239.805070318,1,0,0.01
1772908240.830283249,0,0,8.59
1772908240.830283249,1,0,0.01
1772908241.855985718,0,0,8.59
1772908241.855985718,1,0,0.01
1772908242.879233287,0,0,8.59
1772908242.879233287,1,0,0.01
1772908243.901861631,0,0,8.59
1772908243.901861631,1,0,0.01
1772908244.924860042,0,0,8.59
1772908244.924860042,1,0,0.01
1772908245.950402244,0,0,8.59
1772908245.950402244,1,0,0.01
1772908246.974334587,0,0,8.59
1772908246.974334587,1,0,0.01
1772908247.999498755,0,0,8.59
1772908247.999498755,1,0,0.01
1772908249.022949391,0,0,8.59
1772908249.022949391,1,0,0.01
1772908250.046134319,0,0,8.59
1772908250.046134319,1,0,0.01
1772908251.070171649,0,0,8.59
1772908251.070171649,1,0,0.01
1772908252.096154645,0,0,8.59
1772908252.096154645,1,0,0.01
1772908253.120338725,0,0,8.59
1772908253.120338725,1,0,0.01
1772908254.145111456,0,0,8.59
1772908254.145111456,1,0,0.01
1772908255.168132487,0,0,8.59
1772908255.168132487,1,0,0.01
1772908256.190742149,0,0,8.59
1772908256.190742149,1,0,0.01
1772908257.213849401,0,0,8.59
1772908257.213849401,1,0,0.01
1772908258.236724761,0,0,8.59
1772908258.236724761,1,0,0.01
1772908259.260447664,0,0,8.59
1772908259.260447664,1,0,0.01
1772908260.283532257,0,0,8.59
1772908260.283532257,1,0,0.01
1772908261.307118043,0,0,8.59
1772908261.307118043,1,0,0.01
1772908262.330757523,0,0,8.59
1772908262.330757523,1,0,0.01
1772908263.353677506,0,0,8.59
1772908263.353677506,1,0,0.01
1772908264.378752897,0,0,8.59
1772908264.378752897,1,0,0.01
1772908265.401392739,0,0,8.59
1772908265.401392739,1,0,0.01
1772908266.424549490,0,0,8.59
1772908266.424549490,1,0,0.01
1772908267.448605996,0,0,8.59
1772908267.448605996,1,0,0.01
1772908268.472422057,0,0,8.59
1772908268.472422057,1,0,0.01
1772908269.497931092,0,0,8.59
1772908269.497931092,1,0,0.01
1772908270.520853989,0,0,8.59
1772908270.520853989,1,0,0.01
1772908271.544387787,0,0,8.59
1772908271.544387787,1,0,0.01
1772908272.566818844,0,5,8.95
1772908272.566818844,1,0,0.01
1772908273.589878449,0,0,9.14
1772908273.589878449,1,0,0.01
1772908274.613138601,0,100,9.69
1772908274.613138601,1,0,0.01
1772908275.638069654,0,100,10.42
1772908275.638069654,1,0,0.01
1772908276.661923682,0,100,10.51
1772908276.661923682,1,0,0.01
1772908277.684797209,0,100,10.78
1772908277.684797209,1,0,0.01
1772908278.707538280,0,99,11.06
1772908278.707538280,1,0,0.01
1772908279.730519670,0,99,11.06
1772908279.730519670,1,0,0.01
1772908280.755182790,0,99,11.06
1772908280.755182790,1,0,0.01
1772908281.781498381,0,99,11.06
1772908281.781498381,1,0,0.01
1772908282.806486930,0,99,11.06
1772908282.806486930,1,0,0.01
1772908283.831018317,0,100,11.06
1772908283.831018317,1,0,0.01
1772908284.855146240,0,100,11.06
1772908284.855146240,1,0,0.01
1772908285.880378145,0,100,11.06
1772908285.880378145,1,0,0.01
1772908286.904138544,0,28,11.06
1772908286.904138544,1,0,0.01
1772908287.927251979,0,0,11.06
1772908287.927251979,1,0,0.01
1772908288.950772940,0,0,11.06
1772908288.950772940,1,0,0.01
1772908289.973921892,0,0,11.06
1772908289.973921892,1,0,0.01
1772908290.997035259,0,0,11.06
1772908290.997035259,1,0,0.01
