timestamp,idx,gpu_util_pct,mem_used_pct
1774320262.940037723,0,0,0.00
1774320262.940037723,1,0,0.00
1774320263.963438016,0,0,0.00
1774320263.963438016,1,0,0.00
1774320264.986062955,0,0,0.00
1774320264.986062955,1,0,0.00
1774320266.006816363,0,0,0.00
1774320266.006816363,1,0,0.00
1774320267.029053863,0,0,0.00
1774320267.029053863,1,0,0.00
1774320268.051096338,0,0,0.00
1774320268.051096338,1,0,0.00
1774320269.073724580,0,0,0.00
1774320269.073724580,1,0,0.00
1774320270.094941915,0,0,0.00
1774320270.094941915,1,0,0.00
1774320271.116173837,0,0,0.00
1774320271.116173837,1,0,0.00
1774320272.137493938,0,0,0.96
1774320272.137493938,1,0,0.01
1774320273.159492510,0,0,0.96
1774320273.159492510,1,0,0.01
1774320274.182007556,0,0,0.96
1774320274.182007556,1,0,0.01
1774320275.203991661,0,0,0.96
1774320275.203991661,1,0,0.01
1774320276.226612768,0,0,0.96
1774320276.226612768,1,0,0.01
1774320277.247951226,0,0,0.96
1774320277.247951226,1,0,0.01
1774320278.270227930,0,0,0.96
1774320278.270227930,1,0,0.01
1774320279.291521767,0,0,0.96
1774320279.291521767,1,0,0.01
1774320280.311502122,0,0,0.96
1774320280.311502122,1,0,0.01
1774320281.332734972,0,0,0.96
1774320281.332734972,1,0,0.01
1774320282.353589693,0,0,0.96
1774320282.353589693,1,0,0.01
1774320283.375109787,0,0,0.96
1774320283.375109787,1,0,0.01
1774320284.394868762,0,0,0.96
1774320284.394868762,1,0,0.01
1774320285.414940460,0,0,0.96
1774320285.414940460,1,0,0.01
1774320286.434973553,0,0,0.96
1774320286.434973553,1,0,0.01
1774320287.456245427,0,0,0.96
1774320287.456245427,1,0,0.01
1774320288.478825761,0,0,0.96
1774320288.478825761,1,0,0.01
1774320289.500612120,0,0,0.96
1774320289.500612120,1,0,0.01
1774320290.521811238,0,0,0.96
1774320290.521811238,1,0,0.01
1774320291.543762139,0,0,0.96
1774320291.543762139,1,0,0.01
1774320292.565666767,0,0,0.96
1774320292.565666767,1,0,0.01
1774320293.586985618,0,0,0.96
1774320293.586985618,1,0,0.01
1774320294.607397991,0,0,0.96
1774320294.607397991,1,0,0.01
1774320295.628477610,0,0,0.96
1774320295.628477610,1,0,0.01
1774320296.650426177,0,0,0.96
1774320296.650426177,1,0,0.01
1774320297.670171611,0,0,0.96
1774320297.670171611,1,0,0.01
1774320298.691119202,0,0,0.96
1774320298.691119202,1,0,0.01
1774320299.712537183,0,0,0.96
1774320299.712537183,1,0,0.01
1774320300.733474285,0,0,0.96
1774320300.733474285,1,0,0.01
1774320301.754833485,0,0,0.96
1774320301.754833485,1,0,0.01
1774320302.775717229,0,0,0.96
1774320302.775717229,1,0,0.01
1774320303.796761286,0,0,0.96
1774320303.796761286,1,0,0.01
1774320304.818090929,0,0,0.96
1774320304.818090929,1,0,0.01
1774320305.839678364,0,0,0.96
1774320305.839678364,1,0,0.01
1774320306.861096190,0,0,0.96
1774320306.861096190,1,0,0.01
1774320307.881541760,0,0,0.96
1774320307.881541760,1,0,0.01
1774320308.901586990,0,0,0.96
1774320308.901586990,1,0,0.01
1774320309.921824122,0,0,0.96
1774320309.921824122,1,0,0.01
1774320310.943902080,0,0,0.96
1774320310.943902080,1,0,0.01
1774320311.964885838,0,0,0.96
1774320311.964885838,1,0,0.01
1774320312.984936870,0,0,0.96
1774320312.984936870,1,0,0.01
1774320314.006023152,0,0,0.96
1774320314.006023152,1,0,0.01
1774320315.028316063,0,0,0.96
1774320315.028316063,1,0,0.01
1774320316.049751725,0,0,0.96
1774320316.049751725,1,0,0.01
1774320317.072138846,0,0,0.96
1774320317.072138846,1,0,0.01
1774320318.093560423,0,0,0.96
1774320318.093560423,1,0,0.01
1774320319.114004704,0,0,0.96
1774320319.114004704,1,0,0.01
1774320320.135640236,0,0,0.96
1774320320.135640236,1,0,0.01
1774320321.157133629,0,0,1.17
