timestamp,idx,gpu_util_pct,mem_used_pct
1773032224.300143683,0,0,0.00
1773032224.300143683,1,0,0.00
1773032225.323735690,0,0,0.00
1773032225.323735690,1,0,0.00
1773032226.345932709,0,0,0.00
1773032226.345932709,1,0,0.00
1773032227.367975608,0,0,0.00
1773032227.367975608,1,0,0.00
1773032228.389682487,0,0,0.00
1773032228.389682487,1,0,0.00
1773032229.409399938,0,0,0.00
1773032229.409399938,1,0,0.00
1773032230.430345800,0,0,0.00
1773032230.430345800,1,0,0.00
1773032231.451089938,0,0,0.00
1773032231.451089938,1,0,0.00
1773032232.472856128,0,0,0.96
1773032232.472856128,1,0,0.01
1773032233.495198186,0,0,0.96
1773032233.495198186,1,0,0.01
1773032234.515698988,0,0,0.96
1773032234.515698988,1,0,0.01
1773032235.536695828,0,0,0.96
1773032235.536695828,1,0,0.01
1773032236.558096895,0,0,0.96
1773032236.558096895,1,0,0.01
1773032237.579708552,0,0,0.96
1773032237.579708552,1,0,0.01
1773032238.601142454,0,0,0.96
1773032238.601142454,1,0,0.01
1773032239.623011170,0,0,0.96
1773032239.623011170,1,0,0.01
1773032240.644139535,0,0,0.96
1773032240.644139535,1,0,0.01
1773032241.665722685,0,0,0.96
1773032241.665722685,1,0,0.01
1773032242.686815801,0,0,0.96
1773032242.686815801,1,0,0.01
1773032243.709173777,0,0,0.96
1773032243.709173777,1,0,0.01
1773032244.730197186,0,0,0.96
1773032244.730197186,1,0,0.01
1773032245.752093415,0,0,0.96
1773032245.752093415,1,0,0.01
1773032246.774005986,0,0,0.96
1773032246.774005986,1,0,0.01
1773032247.794975769,0,0,0.96
1773032247.794975769,1,0,0.01
1773032248.816241042,0,0,0.96
1773032248.816241042,1,0,0.01
1773032249.837943757,0,0,0.96
1773032249.837943757,1,0,0.01
1773032250.859706083,0,0,0.96
1773032250.859706083,1,0,0.01
1773032251.880785780,0,0,0.96
1773032251.880785780,1,0,0.01
1773032252.902068880,0,0,0.96
1773032252.902068880,1,0,0.01
1773032253.922878296,0,0,0.96
1773032253.922878296,1,0,0.01
1773032254.944667514,0,0,0.96
1773032254.944667514,1,0,0.01
1773032255.965944521,0,0,0.96
1773032255.965944521,1,0,0.01
1773032256.987445401,0,0,0.96
1773032256.987445401,1,0,0.01
1773032258.008893874,0,0,0.96
1773032258.008893874,1,0,0.01
1773032259.030863449,0,0,0.96
1773032259.030863449,1,0,0.01
1773032260.052754467,0,0,0.96
1773032260.052754467,1,0,0.01
1773032261.073187842,0,0,0.96
1773032261.073187842,1,0,0.01
1773032262.094699253,0,0,0.96
1773032262.094699253,1,0,0.01
1773032263.116008979,0,0,0.96
1773032263.116008979,1,0,0.01
1773032264.137365737,0,0,0.96
1773032264.137365737,1,0,0.01
1773032265.158781137,0,0,0.96
1773032265.158781137,1,0,0.01
1773032266.179821770,0,0,0.96
1773032266.179821770,1,0,0.01
1773032267.201754145,0,0,0.96
1773032267.201754145,1,0,0.01
1773032268.223969415,0,0,0.96
1773032268.223969415,1,0,0.01
1773032269.244773186,0,0,0.96
1773032269.244773186,1,0,0.01
1773032270.265601081,0,0,0.96
1773032270.265601081,1,0,0.01
1773032271.287198434,0,0,0.96
1773032271.287198434,1,0,0.01
1773032272.308478132,0,0,0.96
1773032272.308478132,1,0,0.01
1773032273.329710867,0,0,0.96
1773032273.329710867,1,0,0.01
1773032274.351109905,0,0,0.96
1773032274.351109905,1,0,0.01
1773032275.372430352,0,0,0.96
1773032275.372430352,1,0,0.01
1773032276.393928022,0,0,0.96
1773032276.393928022,1,0,0.01
1773032277.415122799,0,0,0.96
1773032277.415122799,1,0,0.01
1773032278.437682136,0,0,0.96
1773032278.437682136,1,0,0.01
1773032279.458930697,0,0,0.96
1773032279.458930697,1,0,0.01
1773032280.480158241,0,0,0.96
1773032280.480158241,1,0,0.01
1773032281.501280154,0,1,1.24
1773032281.501280154,1,0,0.01
1773032282.523124018,0,59,1.24
1773032282.523124018,1,0,0.01
1773032283.545529502,0,59,1.24
1773032283.545529502,1,0,0.01
1773032284.565325455,0,0,1.24
1773032284.565325455,1,0,0.01
1773032285.586513343,0,0,1.24
1773032285.586513343,1,0,0.01
1773032286.608457070,0,0,1.24
1773032286.608457070,1,0,0.01
1773032287.629852952,0,0,1.24
1773032287.629852952,1,0,0.01
1773032288.651083175,0,0,1.24
1773032288.651083175,1,0,0.01
