timestamp,idx,gpu_util_pct,mem_used_pct
1772916929.820970355,0,0,9.56
1772916929.820970355,1,0,0.01
1772916930.843318841,0,0,9.56
1772916930.843318841,1,0,0.01
1772916931.863609685,0,0,9.61
1772916931.863609685,1,0,0.01
1772916932.886712418,0,0,10.50
1772916932.886712418,1,0,0.01
1772916933.908003153,0,0,10.51
1772916933.908003153,1,0,0.01
1772916934.929833454,0,64,10.51
1772916934.929833454,1,0,0.01
1772916935.952015681,0,63,10.51
1772916935.952015681,1,0,0.01
1772916936.974061443,0,0,10.51
1772916936.974061443,1,0,0.01
1772916937.996182630,0,0,10.51
1772916937.996182630,1,0,0.01
1772916939.018288444,0,0,10.51
1772916939.018288444,1,0,0.01
1772916940.039644787,0,0,10.51
1772916940.039644787,1,0,0.01
1772916941.061253598,0,0,10.51
1772916941.061253598,1,0,0.01
1772916942.083250463,0,0,10.51
1772916942.083250463,1,0,0.01
1772916943.104398841,0,0,10.51
1772916943.104398841,1,0,0.01
1772916944.125965461,0,0,10.51
1772916944.125965461,1,0,0.01
1772916945.147315940,0,0,10.51
1772916945.147315940,1,0,0.01
1772916946.168564889,0,0,10.51
1772916946.168564889,1,0,0.01
1772916947.190460064,0,0,10.51
1772916947.190460064,1,0,0.01
1772916948.211697961,0,0,10.51
1772916948.211697961,1,0,0.01
1772916949.232677636,0,0,10.51
1772916949.232677636,1,0,0.01
1772916950.253660247,0,0,10.51
1772916950.253660247,1,0,0.01
1772916951.274764494,0,66,10.51
1772916951.274764494,1,0,0.01
1772916952.296247096,0,99,10.78
1772916952.296247096,1,0,0.01
1772916953.318039250,0,99,10.78
1772916953.318039250,1,0,0.01
1772916954.340345448,0,57,10.78
1772916954.340345448,1,0,0.01
1772916955.363154422,0,0,10.78
1772916955.363154422,1,0,0.01
1772916956.384520564,0,0,10.78
1772916956.384520564,1,0,0.01
1772916957.406292416,0,0,10.78
1772916957.406292416,1,0,0.01
1772916958.427613555,0,6,10.78
1772916958.427613555,1,0,0.01
1772916959.449997645,0,97,10.78
1772916959.449997645,1,0,0.01
1772916960.472285185,0,99,10.78
1772916960.472285185,1,0,0.01
1772916961.493877420,0,55,10.78
1772916961.493877420,1,0,0.01
1772916962.516210969,0,0,10.78
1772916962.516210969,1,0,0.01
1772916963.538087735,0,1,10.78
1772916963.538087735,1,0,0.01
1772916964.559149596,0,0,10.78
1772916964.559149596,1,0,0.01
1772916965.581401454,0,59,10.78
1772916965.581401454,1,0,0.01
1772916966.603355349,0,59,10.78
1772916966.603355349,1,0,0.01
1772916967.625539528,0,0,10.78
1772916967.625539528,1,0,0.01
1772916968.647358817,0,65,10.78
1772916968.647358817,1,0,0.01
1772916969.669266321,0,66,10.78
1772916969.669266321,1,0,0.01
1772916970.690829226,0,0,10.78
1772916970.690829226,1,0,0.01
1772916971.712628482,0,0,10.78
1772916971.712628482,1,0,0.01
1772916972.733754212,0,0,10.78
1772916972.733754212,1,0,0.01
1772916973.755471160,0,0,10.78
1772916973.755471160,1,0,0.01
1772916974.776696447,0,0,10.78
1772916974.776696447,1,0,0.01
1772916975.798177967,0,0,10.78
1772916975.798177967,1,0,0.01
1772916976.820275871,0,0,10.78
1772916976.820275871,1,0,0.01
1772916977.842054622,0,0,10.78
